scientific_name,license,author,image_url,wikimedia_page
Acer macrophyllum,PD,Angilbas,https://upload.wikimedia.org/wikipedia/commons/6/65/Acer_macrophyllum_1199.jpg,https://commons.wikimedia.org/wiki/File%3AAcer%20macrophyllum%201199.jpg
Acer maximowiczianum,PD,Daderot,https://upload.wikimedia.org/wikipedia/commons/f/fe/Acer_maximowiczianum%2C_Arnold_Arboretum_-_IMG_5917.JPG,https://commons.wikimedia.org/wiki/File%3AAcer%20maximowiczianum%2C%20Arnold%20Arboretum%20-%20IMG%205917.JPG
Acer miyabei,PD,Daderot,https://upload.wikimedia.org/wikipedia/commons/1/16/Acer_miyabei_-_Botanischer_Garten_M%C3%BCnchen-Nymphenburg_-_DSC07563.JPG,https://commons.wikimedia.org/wiki/File%3AAcer%20miyabei%20-%20Botanischer%20Garten%20M%C3%BCnchen-Nymphenburg%20-%20DSC07563.JPG
Acer mono,PD,Daderot,https://upload.wikimedia.org/wikipedia/commons/e/ee/Acer_mono%2C_Arnold_Arboretum_-_IMG_5915.JPG,https://commons.wikimedia.org/wiki/File%3AAcer%20mono%2C%20Arnold%20Arboretum%20-%20IMG%205915.JPG
Acer monspessulanum,PD,Giuseppe Frizzi,https://upload.wikimedia.org/wikipedia/commons/8/8e/Dettaglio_-_Aceraceae_Acer_monspessulanum_Lin._Erbario_Frizzi_n._620.jpg,https://commons.wikimedia.org/wiki/File%3ADettaglio%20-%20Aceraceae%20Acer%20monspessulanum%20Lin.%20Erbario%20Frizzi%20n.%20620.jpg
Acer negundo,PD,Giuseppe Frizzi,https://upload.wikimedia.org/wikipedia/commons/8/85/Dettaglio_-_Acerineae_Acer_Negundo_Lin._Erbario_Frizzi_Perugia_n._87.jpg,https://commons.wikimedia.org/wiki/File%3ADettaglio%20-%20Acerineae%20Acer%20Negundo%20Lin.%20Erbario%20Frizzi%20Perugia%20n.%2087.jpg
Acer palmatum,CC0,Syced,https://upload.wikimedia.org/wikipedia/commons/4/46/Japanese_maple_tree_blooming.jpg,https://commons.wikimedia.org/wiki/File%3AJapanese%20maple%20tree%20blooming.jpg
Acer pensylvanicum,PD,Jaknouse,https://upload.wikimedia.org/wikipedia/commons/5/5a/Moosewood_leaves.jpg,https://commons.wikimedia.org/wiki/File%3AMoosewood%20leaves.jpg
Acer platanoides,,,,
Acer pseudoplatanus,PD,Giuseppe Frizzi,https://upload.wikimedia.org/wikipedia/commons/f/fc/Dettaglio_-_Aceraceae_Acer_pseudo-platanus_L._Erbario_Frizzi_Perugia_n._3320.jpg,https://commons.wikimedia.org/wiki/File%3ADettaglio%20-%20Aceraceae%20Acer%20pseudo-platanus%20L.%20Erbario%20Frizzi%20Perugia%20n.%203320.jpg
Acer rubrum,CC0,Nicholas A. Tonelli,https://upload.wikimedia.org/wikipedia/commons/4/4f/Short_Hike_%2811%29_%2819822066404%29.jpg,https://commons.wikimedia.org/wiki/File%3AShort%20Hike%20%2811%29%20%2819822066404%29.jpg
Acer rufinerve,CC0,Daderot,https://upload.wikimedia.org/wikipedia/commons/5/54/Acer_rufinerve_-_Quarryhill_Botanical_Garden_-_DSC03612.JPG,https://commons.wikimedia.org/wiki/File%3AAcer%20rufinerve%20-%20Quarryhill%20Botanical%20Garden%20-%20DSC03612.JPG
Acer saccharinum,,,,
Acer saccharum,PD,Artemas Ward,https://upload.wikimedia.org/wikipedia/commons/f/f6/Collecting_the_Sap_of_the_Sugar-Maple%2C_Illustration_from_The_Encyclopedia_of_Food_by_Artemas_Ward.jpg,https://commons.wikimedia.org/wiki/File%3ACollecting%20the%20Sap%20of%20the%20Sugar-Maple%2C%20Illustration%20from%20The%20Encyclopedia%20of%20Food%20by%20Artemas%20Ward.jpg
Acer shirasawanum,CC0,Daderot,https://upload.wikimedia.org/wikipedia/commons/9/93/Acer_shirasawanum_%27Moonrise%27_-_Chelsea_Flower_Show_2024_-_DSC02702.jpg,https://commons.wikimedia.org/wiki/File%3AAcer%20shirasawanum%20%27Moonrise%27%20-%20Chelsea%20Flower%20Show%202024%20-%20DSC02702.jpg
Acer sieboldianum,CC0,Daderot,https://upload.wikimedia.org/wikipedia/commons/3/37/Acer_sieboldianum_-_Morris_Arboretum_-_DSC00314.JPG,https://commons.wikimedia.org/wiki/File%3AAcer%20sieboldianum%20-%20Morris%20Arboretum%20-%20DSC00314.JPG
Acer spicatum,PD,Masebrock,https://upload.wikimedia.org/wikipedia/commons/7/76/Acer_spicatum_whole_tree.jpg,https://commons.wikimedia.org/wiki/File%3AAcer%20spicatum%20whole%20tree.jpg
Acer spp.,,,,
Acer tataricum,CC0,%D0%98%D1%80%D0%B8%D0%BD%D0%B0%D0%AF,https://upload.wikimedia.org/wikipedia/commons/2/26/%D0%9A%D0%BB%D1%91%D0%BD_%D1%82%D0%B0%D1%82%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D1%81%D0%BE%D1%86%D0%B2%D0%B5%D1%82%D0%B8%D0%B5_%D0%B8_%D1%88%D0%BC%D0%B5%D0%BB%D1%8C_%28%D0%A1%D0%B0%D1%80%D0%B0%D1%82%D0%BE%D0%B2%29.jpg,https://commons.wikimedia.org/wiki/File%3A%D0%9A%D0%BB%D1%91%D0%BD%20%D1%82%D0%B0%D1%82%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B9%20%D1%81%D0%BE%D1%86%D0%B2%D0%B5%D1%82%D0%B8%D0%B5%20%D0%B8%20%D1%88%D0%BC%D0%B5%D0%BB%D1%8C%20%28%D0%A1%D0%B0%D1%80%D0%B0%D1%82%D0%BE%D0%B2%29.jpg
Acer tegmentosum,CC0,Daderot,https://upload.wikimedia.org/wikipedia/commons/5/52/Acer_tegmentosum_-_Brooklyn_Botanic_Garden_-_Brooklyn%2C_NY_-_DSC07939.JPG,https://commons.wikimedia.org/wiki/File%3AAcer%20tegmentosum%20-%20Brooklyn%20Botanic%20Garden%20-%20Brooklyn%2C%20NY%20-%20DSC07939.JPG
Acer triflorum,PD,Daderot,https://upload.wikimedia.org/wikipedia/commons/6/62/Acer_triflorum%2C_Arnold_Arboretum_-_IMG_5931.JPG,https://commons.wikimedia.org/wiki/File%3AAcer%20triflorum%2C%20Arnold%20Arboretum%20-%20IMG%205931.JPG
Acer truncatum,PD,Pipi69e,https://upload.wikimedia.org/wikipedia/commons/f/f8/Acer_truncatum_bark.jpg,https://commons.wikimedia.org/wiki/File%3AAcer%20truncatum%20bark.jpg
Achillea aegyptiaca,PD,"Sibthrop, J., Smith, J.E.",https://upload.wikimedia.org/wikipedia/commons/8/89/Achillea_aegyptiaca.jpg,https://commons.wikimedia.org/wiki/File%3AAchillea%20aegyptiaca.jpg
Achillea ageratum,PD,USDA Natural Resources Conservation Service,https://upload.wikimedia.org/wikipedia/commons/f/f9/Achillea_ageratum_NY-dist-map.png,https://commons.wikimedia.org/wiki/File%3AAchillea%20ageratum%20NY-dist-map.png
